accept | accepted
peep | peeped
perform | performed
permit | permitted
phone | phoned
pick | picked
pinch | pinched
pine | pined
place | placed
plan | planned
plant | planted
play | played
please | pleased
plug | plugged
point | pointed
poke | poked
polish | polished
pop | popped
possess | possessed
post | posted
pour | poured
practice | practiced
pray | prayed
preach | preached
precede | preceded
prefer | preferred
prepare | prepared
present | presented
preserve | preserved
press | pressed
pretend | pretended
prevent | prevented
prick | pricked
print | printed
produce | produced
program | programmed
promise | promised
protect | protected
provide | provided
pull | pulled
pump | pumped
punch | punched
puncture | punctured
punish | punished
push | pushed
question | questioned
queue | queued
race | race
radiate | radiated
rain | rained
raise | raised
reach | reached
realize | realized
receive | received
recognize | recognized
record | recorded
reduce | reduced
reflect | reflected
refuse | refused
regret | regretted
reign | reigned
reject | rejected
rejoice | rejoiced
relax | relaxed
release | released
rely | relied
remain | remained
remember | remembered
remind | reminded
remove | removed
repair | repaired
repeat | repeated
replace | replaced
reply | replied
report | reported
reproduce | reproduced
request | requested
rescue | rescued
retire | retired
return | returned
rhyme | rhymed
rinse | rinsed
risk | risked
rob | robbed
rock | rocked
roll | rolled
rot | rotted
rub | rubbed
ruin | ruined
rule | ruled
rush | rushed
sack | sacked
sail | sailed
satisfy | satisfied
save | saved
saw | saw
scare | scared
scatter | scattered
scold | scolded
scorch | scorched
scrape | scraped
scratch | scratched
scream | screamed
screw | screwed
scribble | scribbled
scrub | srubbed
seal | sealed
search | searched
see | saw
separate | separated
serve | served
settle | settled
shade | shaded
share | shared
shave | shaved
shelter | shelter
shiver | shivered
shock | shocked
shop | shopped
shrug | shrugged
sigh | sighed
sign | signed
signal | signaled
sin | sinned
sip | sipped
ski | skied
skip | skipped
slap | slapped
slip | slipped
slow | slowed
smash | smashed
smell | smelled
smile | smiled
smoke | smoked
snatch | snatched
sneeze | sneezed
sniff | sniffed
snore | snored
snow | snowed
soak | soaked
soothe | soothed
sound | sounded
spare | spared
spark | sparked
sparkle | sparkled
spell | spelled
spill | spilled
spoil | spoiled
spot | spotted
spray | sprayed
sprout | sprouted
squash | squashed
squeak | squeaked
squeal | squealed
squeeze | squeezed
stain | stained
stamp | stamped
stare | stared
start | started
stay | stayed
steer | steered
step | stepped
stir | stirred
stitch | stitched
stop | stopped
store | stored
strap | strapped
strengthen | strengthened
stretch | stretched
strip | stripped
stroke | stroked
stuff | stuffed
subtract | subtracted
succeed | succeeded
suck | sucked
suffer | suffered
suggest | suggested
suit | suited
supply | supplied
support | supported
suppose | supposed
surprise | surprised
surround | surrounded
suspect | suspected
suspend | suspended
switch | switched
talk | talked
tame | tamed
tap | tapped
taste | tasted
tease | teased
telephone | telephoned
tempt | tempted
terrify | terrified
test | tested
thank | thanked
thaw | thawed
tick | ticked
tickle | tickled
tie | tied
time | timed
tip | tipped
tire | tire
touch | touched
tour | toured
tow | tow
trace | traced
trade | traded
train | trained
transport | transported
trap | trapped
travel | traveled
treat | treated
tremble | trembled
trick | tricked
trip | trip
trot | trotted
trouble | trouble
trust | trusted
try | tried
tug | tugged
tumble | tumbled
turn | turned
twist | twisted
type | type
undress | undressed
unfasten | unfastened
unite | united
unlock | unlocked
unpack | unpacked
untidy | untidied
use | used
vanish | vanished
visit | visited
wail | wailed
wait | waited
walk | walked
wander | wandered
want | wanted
warm | warmed
warn | warned
wash | washed
waste | wasted
watch | watched
water | watered
wave | waved
weigh | weighed
welcome | welcomed
whine | whined
whip | whipped
whirl | whirled
whisper | whispered
whistle | whistled
wink | winked
wipe | wiped
wish | wished
wobble | wobbled
wonder | wondered
work | worked
worry | worried
wrap | wrapped
wreck | wrecked
wrestle | wrestled
wriggle | wriggled
x-ray | x-rayed
yawn | yawned
yell | yelled
zip | zipped
zoom | zoomed
